ID,SKU,Nombre,Visibilidad en el catálogo,Precio normal,Meta: unidades_por_caja,Meta: el_producto_es_simple
1991,B015-1,Globo números dorados x12 (40cm) - 1,visible,450,,
2002,,Globo números multicolor x12 (40cm),visible,,,
2003,B016-0,Globo números multicolor x12 (40cm),visible,450,,
2004,B016-9,Globo números multicolor x12 (40cm) - 9,visible,450,,
2005,B016-8,Globo números multicolor x12 (40cm) - 8,visible,450,,
2006,B016-7,Globo números multicolor x12 (40cm) - 7,visible,450,,
2007,B016-6,Globo números multicolor x12 (40cm) - 6,visible,450,,
2008,B016-5,Globo números multicolor x12 (40cm) - 5,visible,450,,
2009,B016-4,Globo números multicolor x12 (40cm) - 4,visible,450,,
2010,B016-3,Globo números multicolor x12 (40cm) - 3,visible,450,,
2011,B016-2,Globo números multicolor x12 (40cm) - 2,visible,450,,
2012,B016-1,Globo números multicolor x12 (40cm) - 1,visible,450,,
2023,,Globo números rosa x12 (40cm),visible,,,Simple
2024,B021-0,Globo números rosa x12 (40cm),visible,450,,
2025,B021-9,Globo números rosa x12 (40cm) - 9,visible,450,,
2026,B021-8,Globo números rosa x12 (40cm) - 8,visible,450,,
2027,B021-7,Globo números rosa x12 (40cm) - 7,visible,450,,
2028,B021-6,Globo números rosa x12 (40cm) - 6,visible,450,,
2029,B021-5,Globo números rosa x12 (40cm) - 5,visible,450,,
2030,B021-4,Globo números rosa x12 (40cm) - 4,visible,450,,
2031,B021-3,Globo números rosa x12 (40cm) - 3,visible,450,,
2032,B021-2,Globo números rosa x12 (40cm) - 2,visible,450,,
2033,B021-1,Globo números rosa x12 (40cm) - 1,visible,450,,
2044,,Globo números plateados x50(40cm),visible,,,
2045,B017-4,Globo números plateados x50(40cm) - 4,visible,630,,
2046,B017-0,Globo números plateados x50(40cm),visible,630,,
2047,B017-9,Globo números plateados x50(40cm) - 9,visible,630,,
2048,B017-8,Globo números plateados x50(40cm) - 8,visible,630,,
2049,B017-7,Globo números plateados x50(40cm) - 7,visible,630,,
2050,B017-6,Globo números plateados x50(40cm) - 6,visible,630,,
2051,B017-5,Globo números plateados x50(40cm) - 5,visible,630,,
2052,B017-3,Globo números plateados x50(40cm) - 3,visible,630,,
2053,B017-2,Globo números plateados x50(40cm) - 2,visible,630,,
2054,B017-1,Globo números plateados x50(40cm) - 1,visible,630,,
2066,,Globo números plateados x1 (100cm),visible,,,Simple
2067,B020-4,Globo números plateados x1 (100cm) - 4,visible,130,,
2068,B020-0,Globo números plateados x1 (100cm),visible,130,,
2069,B020-9,Globo números plateados x1 (100cm) - 9,visible,130,,
2070,B020-8,Globo números plateados x1 (100cm) - 8,visible,130,,
2071,B020-7,Globo números plateados x1 (100cm) - 7,visible,130,,
2072,B020-6,Globo números plateados x1 (100cm) - 6,visible,130,,
2073,B020-5,Globo números plateados x1 (100cm) - 5,visible,130,,
2074,B020-3,Globo números plateados x1 (100cm) - 3,visible,130,,
